name,venue,date,time,description,href
"Word - A celebration of language, literature and written art",Teder,Fri 27 January 2023,12:00 pm - 6:00 pm,Teder is pleased to present an uncompromising celebration of the written spoken and sung word in our regions – performances readings sounds and words in the local and dynamic language mix that surrounds us Jaffa Road 9 Beit Romano The entrance is free 21 מילה ★ חגיגת שפה ספרות ואמנות כתובה בבית רומנו שישי 271 1200 דרך יפו 9 תדר שמחים להציג חגיגה בלתי מתפשרת למילה הכתובה המדוברת והמושרת במחוזותינו – הופעות הקראות צלילים ומילים בבליל השפות המקומי והדינמי שמקיף אותנו יקחו חלק נטע וינר בהשקת אלבום חדש ★ אורית טשומה ★ יוסי צברי ★ גופא – זהר אלמקייס וג׳ייסון דנינו הולט ★ קולקטיב נצח ★ אלעד בר נוי – פופ אפ לייב פודקאסט ★ ועוד ערבית עברית רוסית אנגלית אמהרית יידיש ועוד שפות רבות מדוברות ונחגגות כאן בין הירדן לים – ובתוך מציאות דינמית המתאפיינת בתנועת מטוטלת אל עבר קצה שבו השפה מנוצלת לכלי הפרדה שמטרתו לזרוע פחד ישנה הזדמנות להסיט את המגמה לכיוון אחר – בו ישנה שפה שמאפשרת מקום להבדלים ולא חוששת לעמוד איתנה מול סדר קיים דכאני וישן לערב אחד בבית רומנו כל השפות המצוינות לעיל יחגגו בין הדמעה לצחוק ובין הנאום למסיבה ככה זה ילך – ★ ברחבה ★ יוסי צברי – היוצר השחקן ואמן הספוקן וורד הפעיל שמיטיב לשבור כל טאבו לשלול כל הנחת יסוד ולא לרחם על אף פרה קדושה – יעלה לשחרר את חרצובות לשונו עם קטע חד ומיוחד ★ אורית טשומה – אחת מהקולות החדים הרעננים וחסרי הפחד בסביבת סצנת ההיפ הופשירה הישראלית שמאז אלבום הבכורה שלה הספיקה לשרוף כמה במות ולזרוח בשיתופי פעולה פרוליפיים – מגיעה לראשונה להופעה מלאה אצלנו ברחבה תופים ניר קליינר בס אלי אור קלידים ומחשב אוריאל קדם ★ נטע וינר – ראפר רב שפתי פעיל חברתי לשינוי במחוזותינו משורר ואחד מהיוצרים המגוונים והמוערכים בסביבה – חוגג אלבום חדש העונה לשם המחייב ״פינוי בינוי״ ויעלה להשיק אותו מלווה בלהקה מרשימה רועי דורון – בס חנצ’ה יאיר – תופים רועי חסון – מחשב רוני מרקביץ’ – גיטרה אורחי כבוד – סמירה סרייה ואייל תלמודי ★ יתקלטו בין לבין – חסן מסרי ונועה מיז ★ ברפי ★ ״פופ אפ״ לייב – אלעד ברנוי – העיתונאי העורך והמגיש של פודקאסט התרבות ״פופ אפ״ מבית כאן תרבות יעמיד לראשונה מהדורה חיה ובועטת של אחד ההסכתים המלהיבים ברשת העברית על הפרק צלילה בלשנית עמוקה לשפה של מופעי הפופ המקיפים אותנו בתרבות ובמוזיקה ★ גופא – האסופה הספרותית מבית תיאטרון הבית ביפו בעריכת זהר אלמקייס וג׳ייסון דנינו הולט באירוע הקראה ראשון בשיתוף הכותבות והכותבים שלקחו חלק בגליונות כתב העת הייחודי והחינמי שהחל את דרכו בשלהי הסגרים ונתן ופתח לכותבות וכותבים מקצוות שונים ובלתי שגרתיים להתנסות בטקסטים בלתי מקוטלגים חופשיים ואינטימיים – יוצא מהדפים אל העולם הפיזי עם מרתון הקראות של משתתפי האסופה טיזרים לאסופה הקרובה ומכירת הדפסים של אמני האסופה יקריאו אלעד ברנוי מקריא את אלינור דרזי ★ עופר טיסר מקריא את ניסן אליהו כהן ★ עלמה מרים כץ מקריאה את תמי ריקליס ★ זהר אלמקייס מקריאה את אלינה יקירביץ׳ ★ רז וינר מקריא את אלון רג׳ואן ★ יונית נעמן מקריאה את אלהם רוקני ★ הצצה לגליון הבא מאי פלטי מקריאה את יעל מור וג׳ייסון דנינו הולט מקריא את תמנה פרץ ★ בחדר ★ נצח – קולקטיב היוצרים של חבורת הרדיקלים החופשיים מחיפה ישתלט על החדר עם צלילות אינסופיות למוזיקה הקראות ופרפורמנס טוטאלי של החומר הטקסטואלי החצוף וחסר העכבות שלהם בין המשתתפים ניסן אליהו כהן רומן אייזנברג שוהם סכנה מנלה נעם בןדוד עופר טיסר אליק הרפז ועוד אורחים מזדמנים עיצוב פוסטר בן ריבק הפקה נועה מזרחי דרך יפו 9 בית רומנו הכניסה חופשית 1800 21 מהבית tederfm,https://www.secrettelaviv.com/tickets/word-a-celebration-of-language-literature-and-written-art-teder
Abraham's Yard-Sale,Abraham,Sat 28 January 2023,12:00 pm - 7:00 pm,Abraham’s Yard Sale January 2023 Join our social secondhand fair at Abraham Tel Aviv Clothes accessories jewelry Cold beer great music and a perfect vibe Saturday281 from noon 1200 until evening 7 PM Free entrance אירוע היארד סייל החודשי של אברהם – מהדורת ינואר 2023 Abraham’s Yard Sale יריד יד שנייה במחירים שווים ביותר באברהם תל אביב מלא דוכני מכירה עם בגדים נעליים אקססוריז וגודיז נוספים פעם בחודש הלאונג’ של אברהם מתמלא בדוכני מכירה של הבגדים הכי צבעוניים ושווים במחירים נגישים בהחלט יום שבת 281 מתחילים ב 1200 והיריד פתוח עד 1900 באברהם תל אביב רח’ הרכבת 8 הכניסה חופשית ———————– רוצה לפתוח דוכן עם ידשניה למכירה טופס ההרשמה למוכרים נמצא כאן httpsbitly3PgwZgp שימו לב – ההרשמה תיסג ב 1812023 ————— מטרת היריד של אברהם היא ליצור פלטפורמה נגישה ונוחה שתאפשר לכם למכור בגדים וחפצים מהארון הפרטי שלכם וללא הוצאות מיותרות,https://www.secrettelaviv.com/tickets/abrahams-yard-sale
BamBam Festival,Collabo,Sat 28 January 2023,7:00 pm - 11:45 pm,With the blessing of the Hanukkah holiday that we see only light and color Cnaan Soundsystem is proud to present Bam Bam Festival Saturday 12823 Collabo Derech Ben Zvi 47 Jaffa Doors open at 1900 httpseventbuzzcoillpeventbambamfestival בברכת חג חנוכה שנראה רק אור וצבע Cnaan Prophet Productions גאים להציג Bam Bam Festival Sister Nancy הסיסטר באה לכנען לתת אותות צרועה לאלוהים שבשמיים ארגנו לכם פסטיבל תל אביבי מטריף שאין כמותו Dancehall רחבת RaggaMuffin רחבת וכמובן המלכה שלנו שבאה עלינו לטובה Sister Nancy JAH Rastafari סיסטר ננסי נולדה ב2 בינואר 1962 בג’מייקה ידועה כfemale dancehall deejay הראשונה והתחילה את פעילותה בעולם שהיה עד אותה עת בעיקר של גברים בשנת 1980 הוכנסה ננסי לראשונה לאולפן הקלטות על ידי המפיק ווינסטון ריילי והשאר…היסטוריה מאז ועד היום ננסי מרשימה בסגנון וביכולות ההגשה הנדירות שלה קפצנו על ההזדמנות להביא אותה לישראל כדי לחמם לנו קצת את החורף הקריר אל האגדה הזו ציוותנו את החבר’ה עם הכי הרבה ווייבז בארץ Silverdon אמן ישראלי שהתחיל את חיבורו למוסיקה אי שם בשנות ה80′ שרף אינספור מיקרופונים ובמות במהלך הקריירה שלו ואחרי שכבש במות בג’מייקה כמו הסטינג ב93′ סמפסט וסאן ספלאש ב94′ מצעד גיבורי הרגאיי והבורדר קלאש היוקרתי סילברדון מגיע אלינו לבמה עם חומרים חדשים אש בוערת ואנרגיות שיא httpsyoutubecomsilverdonofficial9177 Empress Truth Aka Empress Truth Akins קיסרית האמת מגיעה אלינו כל הדרך מסן דיאגו קליפורניה יוצרת המשלבת בין סגנונות הרגאיי וההיפ הופ שמה דגש בשיריה על נושא החינוך ומערכת חוסר הצדק אמפרס נוחתת אצלנו להוטה ומלאה בווייבז ומוכנה לכבוש אותנו עם קסמיה Vybz Carmel אחרי 20 שנה בסצינת הרגאיי והדאנסהול בשנת 2020 ווייבז התחילה להכנס למוסיקה מהצד של המיקרופון עבדה עם הלייבל הג’מייקני IWAAD והוציאה את השיר Boyie שקיבל השמעות בתחנות רדיו מקומיות בג’מייקה ובעולם לאחרונה הוציאה את הסינגל Worries ויש עוד כדורים בקנה Watch it מגיעה מלאה בווייבז כרגיל MeravStylee Mighty Pepper מייטי פפר הוא מפיק מקומי שפועל בשנים האחרונות בגזרת הדאב והראבאדאב עבד ושחרר מוזיקה עם אמנים מסביב לעולם כולל נאטי קמפבל UK פיקיר אמלק US ליידי סקאביה IN ועוד… לאחרונה הפיק את איפי הבכורה של מירב סטיילי עליו עבד גם מיקסמונסטר ונתמך על ידי סאונדים באנגליה ואירופה ביניהם ראס קיילב מצ׳אנל וואן מגיע יחד עם מירב סטיילי לסט ולייב שואו בסגנון שלא רואים כל יום opylink מירב התחילה להחשף לז’אנר הרגאיי כבר בשנות ה80′ ובעיקר לאיזורי הדאב על ההיסטוריה שלו ושלל סגנונותיו בתקופת הקורונה מירב הרגישה ממש את הצורך לתת למילים לפרוץ החוצה והוציאה את האיפי שלה Babylon is at war לאוויר העולם Music by Cnaan Soundsystem האופרטור של הסאונד עומרי ינאי אקא I Yanay הקים את הסאונד בציון ירושלים ומאז שלח זרועותיו לתפוצות ועכשיו חוזר אלינו בגדול כנען מגיע לפזר אנרגיות של טוב ולהפיץ את המסר של ג’ה Love inity Bless n Mercy סאונד שעובד ללא הפסקה משנת 2010 חברי הסאונד פאדה בלססלקטה וסידימאן דיג׳יי ואופרייטה מנגנים 100 תקליטים נדירים שנאספו במשך השנים מתמחים ב’ראב א דאב’ ו’דיפ רוטס’ בנוסף לתקליטים המיוחדים בלס אנד מרסי הפיקו ומפיקים רידימים מקוריים ועובדים מול אמנים מג׳מייקה ומהעולם לבלס אנד מרסי תחביב מסוכן נוסף הקלטת דאבפלייטים מקוריים יצירתיים מפתיעים ו…רוצחים אבל יש תיבות פנדורה שלא פותחים Einad Abu Aseel Aka crazy karazy DJMC הדרוזי מהצפון אקא הראסטמן מהגולן מביא איתו משב רוח של שינוי מפסגת החרמון אחד ממקימי סצינת הרגאיי במגזר התחיל להפיק אירועים בשנת 2009 בחיפה ובגולן ולפני 12 שנה אף הפיק לראשונה בחיפה אירוע יום הולדת לבוא מארלי היה ממפיקי פסטיבל עצמאות שהיה באודם ובקיצור כבודו במקומו בא לפתוח את הערב בסט רגאיי משולב בערבית ויתן כמובן בווייב על המייק Rudeboy Sound מוותיקיי הסאונדים על במות ישראל מי שמכיר את הסאונד מכיר גם את היכולות להרים רחבות ניגן בחו”ל בארץ ובכל מקום מהבארבי עד לפסטיבלים ולליינים הכי לוהטים שיש רגאיי דאנסהול וכל מה שביניהם זו המומחיות רמי גראמי ודיג’יי מארק באים לתת לכם סט שלא תשכחו אז make it a date and dont be late שבת 28123 קולאבו דרך בן צבי 47 יפו פתיחת דלתות בשעה 1900 httpseventbuzzcoillpeventbambamfestival,https://www.secrettelaviv.com/tickets/bambam-festival
Daniel Sapir,Ozen,Sat 28 January 2023,7:30 pm - 11:00 pm,Daniel Sapir and the band are celebrating the release of the second song from “The Kingdom” – Daniel’s second album which will be released in February 2023 Here is the previous single “I love you” httpswwwfacebookcomsapirdanielofficialvideos1297536054428446 The songs of the “Kingdom” album continue the line of the first album – with questions like what the fuck is part of this life what the hell are we supposed to do here and in general what’s going on – but this time the general spirit is much more loose silly and contains the complexity of this nonsense called living Together with Daniel on stage the hysterical band in the best part will play and sing First 40 tickets for NIS 40 here at the link httpsozentlvcomeventspierdaniel Location King George 48 JaffaTel Aviv קמע מציגים דניאל ספיר והלהקה חוגגים את שחרור השיר השני מתוך “הממלכה״ – אלבומו השני של דניאל העתיד לצאת בפברואר 2023 הנה הסינגל הקודם ״אני אוהב אותך״ httpswwwfacebookcomsapirdanielofficialvideos1297536054428446 שירי האלבום ״הממלכה״ ממשיכים את הקו של האלבום הראשון – עם שאלות כמו מה הפאקינג קטע של החיים האלה מה לעזאזל אנחנו אמורים לעשות פה ובאופן כללי מה נסגר – אבל הפעם הרוח הכללית הרבה יותר משוחררת מטופשת ומכילה למורכבות של השטות הזאת שנקראת לחיות יחד עם דניאל על הבמה ינגנו וישירו הלהקה ההיסטרית בקטע הטוב הנ״ל נילי פינק גיטרות סינטים עונגי ציזלינג סקסופון סמפלר סינטים ושחר חזיזה תופים 40 כרטיסים ראשונים ב40 ש״ח כאן בלינק httpsozentlvcomeventspierdaniel,https://www.secrettelaviv.com/tickets/daniel-sapir
Ollie Danon,Levontin 7,Sat 28 January 2023,8:00 pm - 11:00 pm,The national tour is reaching a boiling point Ollie Danon and his polished band arrive for a sensational performance on the Levontin 7 floor Songs from the new album “The Four Seasons” the debut album “Silence The Land” and also some from the upcoming album They start playing at half past eight Come Tickets httpsrbgyj67n92mibextidZxz2cZ Location Levontin 7 Tel Aviv סיבוב ההופעות הארצי מגיע לנקודת רתיחה אולי דנון והלהקה המצוחצחת שלו מגיעים להופעה מסעירת חושים על רצפת הלבונטין 7 שירים מהאלבום החדש “ארבע עונות השנה”‘ אלבום הבכורה “שתיקת האדמה” וגם כמה מהאלבום המתקרב הניגון עומר שונברגר – גיטרה וקולות עמר גושן – גיטרה וקולות אופק רם – קלידים יוני מריאנר – בס חמודי – תופים מתחילים לנגן בשמונה וחצי בואו,https://www.secrettelaviv.com/tickets/ollie-danon
RUSTY BOILERS,THE SPOT HOSTEL,Sat 28 January 2023,8:00 pm - 11:30 pm,RUSTY BOILERS live at the SPOT HOSTEL TEL AVIV with special guest DJ Nir Katan – FREE ENTRANCE – Location HaTa’arucha Street 3 Tel Aviv,https://www.secrettelaviv.com/tickets/rusty-boilers
THE LEGENDARY PINK DOTS,Gagarin,Sat 28 January 2023,8:30 pm - 11:45 pm,For the fourth time and after a decade we’re hosting the artistic cult group from Holland The Legendary Pink Dots for a special show on the occasion of 40 years of career Location Gagarin Kibbutz Galuyot Rd 13 Tel Aviv First two hundred tickets at a special price here httpsravenmetalcoilproductinfophpcPath73productsid16070 Notable albums The Tower 1984 Asylum 1985 Any Day Now 1988 Island Of Jewels 1986 The Maria Dimension 1991 Crushed Velvet Apocalypse 1990 Imagine a mix of avantgarde rock experimental neo psychedelia gothic progressive dark eighties indie… that doesn’t sound like the name of anything else Waiting for the cloud Pennies for heaven Tower one Casting the runes I love you in your tragic beauty Belladonna Curious Guy Laguna beach a Strychnine kiss הרכב הקאלט האומנותי מהולנד לתל אביב למופע 40 שנות יצירה מופע פותח ערן צור 28123 גגרין קיבוץ גלויות 13 ת”א מאתיים כרטיסים ראשונים במחיר מיוחד כאן httpsravenmetalcoilproductinfophpcPath73productsid16070 מתרגשים ושמחים לארח בארץ בפעם הרביעית ולאחר עשור את הרכב הקאלט האומנותי מהולנד The Legendary Pink Dots למופע מיוחד לרגל 40 שנות קריירה ה Legendary Pink Dots שהוקמה בלונדון ב 1980 בהנהגת הסולןמשוררנביאקוסם אדוארד קאספל והוציאה עד היום 34 אלבומים היא מהלהקות המוערכות ביותר מדור הפוסט פאנקרוק גותיקברטדארק אייטיז שצמח בתחילת שנות השמונים שמם מוזכר באותו מחזור ובנשימה אחת עם Cocteau Twins Bauhaus Dead Can Dance Death In June This Mortal Coil Minimal Compact Wire Joy Division וכל ענקי התקופה ה Legendary Pink Dots נוגנו באופן קבוע באותן שנים בכל מועדוני תל אביב הרלוונטים הפינגווין הליקוויד וקולנוע דן Pennies for heaven בשנת 1992 הגיעה הלהקה לראשונה לישראל בהפקת “האוזן השלישית” להופעות במוזיאון תל אביב שלוו באלבומם המצליח ועטור השבחים The Maria Dimension מאז הופיעה הלהקה עוד פעמיים במועדון הבארבי כאשר כל הופעה היתה חוויה אמנותית ייחודית וגרמה למפגש של דור המאזינים האדוק והותיק של הלהקה שהולך בנאמנות אחריה שנים ולדור חדש של מאזינים שנחשף להשפעה העצומה של הלהקה ● מספר נקודות ורודות… להקת הלג”נדרי פינק דוטס נקודות ורודות ואגדתיות נוסדה בלונדון בשנת 1980 ועברה כעבור שנים אחדות למושבה הקבוע באמסטרדם מנהיגה אדוארד קאספל שילב ביצירותיו את הפסיכדליה ששאב מאמני סיקסטיז כ Syd Barrett ביחד עם הגישה החתרנית חדשנית של להקות כ Joy Division בטקסטים בסאונד ובהפקה המוזיקלית והוסיף להם מוטיבים קלאסיים אקוסטיים ככינורות וכלי נשיפה מגוונים מרבדים אלקטרונים קסומים פרי מחקר סאונדים אנלוגיים של שנים ואביזרים מגוונים ככוסות תה מתפוצצות בקבוקים צינורות וכיו”ב מה ששייך את הלהקה גם לזרם התעשייתי שהחל לפרוח באירופה של שנות השמונים ניסיונות הלהקה לא ידעו גבול וסגנונם נע בין רוק ניסיוני ניאו פסיכדליה פוסט פאנק אלטרנטיבי אינדי אלקטרו גותי ותעשייתי הגרעין של הלהקה תמיד היה אדוארד קאספל בסגנון השירה והקלידים שייחודיים רק לו פיל נייט סילברמן בטכנאות סאונד עתידנית שילוב שיצר את מה שנקרא כיום “סגנון לג”נדרי” ההרכב שראה את עצמו כניסיוני לא חשב בתחילת דרכו כלל על שיווק והצלחה ועסק רק בהקלטות ויצירה אלמלא חברתו של קאספל מרי לו שדחפה את יצירותיו לעולם החיצון סגרה להם הופעות ופגישות בחברות תקליטים סביר להניח שקאספל וחבריו לא היו מתפנים לכך שכן עד היום הוציא ההרכב למעלה משלושים אלבומי אולפן מספר מכובד של תת הרכבים מצליחים כ Tear Garden ו Darkstar עם סקיני פאפי אלבומי סולו רבים של חברי ההרכב פסי קול והשתתפויות באין ספור פרויקטים חד פעמיים ביקור זה הוא הרביעי להרכב בישראל לאחר 3 הופעות מוצלחות שהותירו רושם רב במוזיאון ת”א בשנת 1992 והופעות בבארבי ת”א ב 2005 וב 2014 אתר המוסיקה ALLMUSIC הגדיר את קאספל כ”גאון על סף הטירוף” הטקסטים האפוקליפטיים מיסטיים שלו הקנו לו עדת מעריצים מקומית אשר הכתירה אותו כ”נביא” בכלל ללהקה גרעין מעריצים גדול בישראל וישראל היא בעצם המקום הראשון שבו חיכו מעריצים ללהקה בשדה התעופה כי המוזיקה של ה Legendary Pink Dots אינה שייכת למקום או זמן היא יכולה לדבר מאד לקהל של פינק פלויד ובמקביל לקהל של הסיסטרס אוף מרסי ופיטר מרפיהקיור איכותה הנדירה של הלהקה וגישתה הייחודית הופכת אותה ליהלום שאין דומה לו במוזיקה האלטרנטיבית על כל סוגיה ותתי הסגנונות שבה אלבומים בולטים The Tower 1984 Asylum 1985 Any Day Now 1988 Island Of Jewels 1986 The Maria Dimension 1991 Crushed Velvet Apocalypse 1990 דמיינו מיקס של רוק אוונגרדי אקספרימנטל ניאו פסיכדליה גותי פרוגרסיב דארק אייטיז אינדי… שלא נשמע כמו שם דבר אחר Waiting for the cloud Pennies for heaven Tower one Casting the runes I love You in your tragic beauty Belladonna Curious Guy Lagunna beach a Strychnine kiss,https://www.secrettelaviv.com/tickets/the-legendary-pink-dots-gagarin
Sufjan Stevens - a tribute and love show,Ozen,Sat 28 January 2023,10:00 pm - 11:45 pm,We invite you to a show of love and tribute to Sufjan Stevens He was with us in rainy gray days when we loved for the first time and when we walked an old road Born in Detroit Michigan Sufian is a singersongwriter who has made a huge impact on the world’s indie scene Come and be moved with us by an intimate and melancholy show 128 Opening doors – 2200 Advance sale – NIS 50 At the cash register – 60 NIS 18 מזמינים אתכם למופע מחווה ואהבה לסופיאן סטיבנס הוא היה איתנו בימים גשומים אפורים כשאהבנו בפעם הראשונה וכשהלכנו בדרך ישנה סופיאן שנולד בדטרויט מישיגן הוא זמר יוצר שהשפיע מאוד על סצנת האינדי בעולם בואו להתרגש איתנו ממופע אינטימי ונוגה יאהבו ענת מושקובסקי ושון לו יון גלעד עדיקשת כהן אביב פק עלמה גוב יובל עובד לורן נוימן דניאל נץ יובל גלבוע ורוני בצ׳לדין ניצן אלון מור סויסה שגם מפיק את האירוע 281 פתיחת דלתות – 2200 מכירה מוקדמת – 50 ש״ח בקופה – 60 ש״ח 18,https://www.secrettelaviv.com/tickets/sufjan-stevens
APIFERA,The Zone,Sun 29 January 2023,9:00 pm - 11:30 pm,Apifera in the Zone Come hear the latest album performed live just before the band tours Europe next spring The virtuoso postjazz group burst into consciousness in 2021 with a debut album released on the Los Angeles record empire Stones Throw and which was received with perked ears all over the planet Now they return to serve you a crisp and colorful outofbody experience like a rain forest on Mars with new and kicking pieces that were selected with tweezers from a sea of ​​material recorded in the last two years Nitai Hershkovitz – keyboards Rejoicer – keyboards bass Yonatan Alblack – guitar bass Amir Bresler – drums Discounted tickets here for 70 NIS or 80 NIS at the doors Doors open at 2100 Show start at 2200 APIFERA מגיעים לאזור לקראת שחרור אלבומם השני ולפני סיבוב הופעות אירופאי באביב הרכב הפוסטג׳אז הוירטואוזי פרץ לתודעה בשנת המגפה עם אלבום בכורה ואיפי שיצאו באימפריית התקליטים הלוס אנג׳לסית Stones Throw ושהתקבלו באוזניים זקורות בכל רחבי הכוכב כעת הם חוזרים להגיש לכם חוויה חוץגופית פריכה וצבעונית כמו יער גשם על מאדים עם קטעים חדשים ובועטים אשר נבחרו בפינצטה מתוך ים של חומרים שהוקלטו בשנתיים האחרונות ניתאי הרשקוביץ – קלידים ריג׳ויסר – קלידים באס יונתן אלבלק – גיטרה באס אמיר ברסלר – תופים כרטיסים מוזלים כאן ב70 ש”ח או 80 ש”ח בקופות בערב המופע פתיחת דלתות 2100 תחילת מופע 2200,https://www.secrettelaviv.com/tickets/apifera
Eran Tzur,Kuli Alma,Sun 29 January 2023,9:00 pm - 11:00 pm,Eran Tzur in a trio show on Sunday 291 Kuli Alma Doors open 2100 Show starts 2200 Free entrance Entry is from age 24 or older ערן במופע טריו עם רם אוריון ושי ברוך יום ראשון 291 כולי עלמא פתיחת דלתות 2100 תחילת מופע 2200 כניסה חופשית הכניסה מגיל 24 ומעלה צילום תומר גילת,https://www.secrettelaviv.com/tickets/eran-tzur-2
"Yael Copeland, Tal Lamdan",Levontin 7,Sun 29 January 2023,10:00 pm - 11:30 pm,Darkening Levontin 3 solo artists are coming to sing in Levontin 7 and we are happy to host you Yael Copeland – brings the audience into the bedroom where the material was written httpsbfanlinkmanyyaelscopeAn elegant indie on the seam between old and new will reveal pieces from the debut album that will be released this winter with minimal and close arrangements Tal Lamdan – A collection of hits from the album ‘It’s what’s available’ and a new album coming out soon ✮ Dream Pop in Hebrew To listen to the new single httpsbfanlinkTalLamdanDoubleSingle Please note this time it starts at 2200 Entry is free מחשיכים את לבונטין 3 אמני סולו שרים והפעם שמחים לארח את יעל קופלנד – סולנית להקת בוריטו בפרויקט של “פולק מחדר השינה” – שברי רגעים משברים קיומיים ומתיקות שמוצאת את היופי במלנכוליה ביחד עם טל למדן גיטרה וטל אורן בס קסיו ומכונת תופים יעל מכניסה את הקהל לחדר השינה בו נכתבו החומרים httpsbfanlinkmanyyaelscope שיר פרום – אינדי אלגנטי על התפר שבין ישן לחדש תחשוף פיסות מאלבום הבכורה שעתיד לצאת החורף עם עיבודים מינימליים וקרובים בליווי הטובים והנכונים – יותם אגם והשוג המדופלם טל למדן – לקט להיטים מהאלבום ‘זה מה שיש’ ומאלבום חדש שיצא בקרוב ✮ דרים פופ בעברית להאזנה לסינגל החדש httpsbfanlinkTalLamdanDoubleSingle שימו לב הפעם מתחילים ב 2200 הכיסה חופשית גרפיקה יעל קופלנד,https://www.secrettelaviv.com/tickets/yael-copeland-tal-lamdan
